scene_idx,v2i_network,n_vehicles,chosen_leader,is_leader,vehicle_id,queue_length,t_pair_avg_s,t_fuse_avg_s,D_hat_proc_s,D_hat_v2i_s,D_hat_total_s
10,3G,5,4,False,3,2,0.0032904920747400786,0.0011037553503616634,0.020846707798802138,0.418061315,0.43890802279880214
10,3G,5,4,True,4,0,0.0028518953348772046,0.0009687881471239382,0.012376369486632757,0.418061315,0.4304376844866327
11,3G,5,0,True,0,0,0.0029597266026153046,0.0008186834626758722,0.01265758987313709,0.418061315,0.4307189048731371
11,3G,5,0,False,1,0,0.0029889392850937597,0.0011338152771750779,0.013089572417550117,0.418061315,0.4311508874175501
11,3G,5,0,False,2,1,0.0030077841005082587,0.0009695241988700945,0.016008444701411387,0.418061315,0.4340697597014114
11,3G,5,0,False,3,2,0.0029450740188942696,0.0011368690386206871,0.018807313151986305,0.418061315,0.4368686281519863
11,3G,5,0,False,4,0,0.0031695075076904043,0.001026780317159016,0.013704810347920633,0.418061315,0.43176612534792064
12,3G,5,4,False,0,2,0.003145144591119383,0.0010316157242326487,0.019902483270948946,0.418061315,0.43796379827094895
12,3G,5,4,False,1,0,0.0032481154106258165,0.0009983608757589252,0.013990822518262192,0.418061315,0.43205213751826216
12,3G,5,4,False,2,2,0.003030274762732468,0.0009557274282191074,0.019137376004613914,0.418061315,0.4371986910046139
12,3G,5,4,False,3,0,0.0028781913794246475,0.0008002045990871112,0.012312970116785702,0.418061315,0.4303742851167857
12,3G,5,4,True,4,0,0.0027699340040724376,0.0009985238153377262,0.012078259831627476,0.418061315,0.43013957483162746
13,3G,5,1,False,0,2,0.003247998901386949,0.0009237882541378286,0.020411781662459518,0.418061315,0.4384730966624595
13,3G,5,1,True,1,0,0.0028964597824066613,0.0009758579758484872,0.012561697105475132,0.418061315,0.4306230121054751
13,3G,5,1,False,2,1,0.003247175067370923,0.0010881863706506771,0.017324061707505292,0.418061315,0.43538537670750527
13,3G,5,1,False,3,0,0.0029686023953523584,0.0010953325585983335,0.012969742140007767,0.418061315,0.4310310571400078
13,3G,5,1,False,4,2,0.0031404886929076877,0.0008689098304704645,0.01971184198791659,0.418061315,0.4377731569879166
14,3G,5,3,False,0,2,0.003165230171335931,0.0009593779991216945,0.01995075902713728,0.418061315,0.43801207402713727
14,3G,5,3,False,1,2,0.00305023201185401,0.0009632161915956126,0.01926460826271967,0.418061315,0.4373259232627197
14,3G,5,3,False,2,2,0.0029584677158261217,0.0010719812939075405,0.01882278758886427,0.418061315,0.43688410258886423
14,3G,5,3,True,3,0,0.002945489367923674,0.0010491705273625103,0.012831127999057206,0.418061315,0.4308924429990572
14,3G,5,3,False,4,1,0.0032820109570007175,0.0010640642884574335,0.017474119073461022,0.418061315,0.435535434073461
15,3G,5,1,False,0,1,0.0031811612682353793,0.0010491802703311067,0.016954986611508002,0.418061315,0.435016301611508
15,3G,5,1,True,1,0,0.0030080624313545924,0.0008239039083083981,0.012856153633726768,0.418061315,0.43091746863372676
15,3G,5,1,False,2,1,0.003338323716818023,0.0009927950032200625,0.017684413587310176,0.418061315,0.43574572858731014
15,3G,5,1,False,3,1,0.0030193759620251994,0.0012048527836880274,0.016301732593814025,0.418061315,0.434363047593814
15,3G,5,1,False,4,1,0.002951437716207302,0.0008658988370507607,0.015623087418087272,0.418061315,0.43368440241808726
16,3G,5,2,False,0,1,0.0031482484458486525,0.000958021797414503,0.016699264026657765,0.418061315,0.43476057902665777
16,3G,5,2,False,1,0,0.0029822600026205848,0.0010592930972340019,0.01298833310771634,0.418061315,0.43104964810771634
16,3G,5,2,True,2,0,0.0027736736722219456,0.0009796929870889638,0.012074387675976746,0.418061315,0.4301357026759767
16,3G,5,2,False,3,0,0.003115370523484466,0.001058654027323611,0.013520136121261475,0.418061315,0.43158145112126145
16,3G,5,2,False,4,1,0.002861828047466692,0.0008036127649881233,0.015112753002321584,0.418061315,0.43317406800232156
17,3G,5,4,False,0,2,0.003150453557982565,0.0010070481374829855,0.019909769485378377,0.418061315,0.43797108448537836
17,3G,5,4,False,1,2,0.002961225950178354,0.0010721507676733737,0.018839506468743498,0.418061315,0.4369008214687435
17,3G,5,4,False,2,0,0.002927116985144627,0.000930631923049459,0.012639099863627967,0.418061315,0.430700414863628
17,3G,5,4,False,3,1,0.0028972549223619743,0.0009596177569370119,0.015445892368746883,0.418061315,0.43350720736874687
17,3G,5,4,True,4,0,0.0029101436853863185,0.0009391711996325058,0.01257974594117778,0.418061315,0.43064106094117777
18,3G,5,4,False,0,1,0.0030046174178587405,0.0009774277802631671,0.016000514869556868,0.418061315,0.4340618298695569
18,3G,5,4,False,1,2,0.002774789521317681,0.0009520091791192767,0.01760074630702536,0.418061315,0.43566206130702534
18,3G,5,4,False,2,0,0.0032205479085168805,0.0010096021715570336,0.013891793805624556,0.418061315,0.43195310880562454
18,3G,5,4,False,3,0,0.0030603587797078257,0.0010905651547413258,0.013332000273572628,0.418061315,0.4313933152735726
18,3G,5,4,True,4,0,0.0030388333162286564,0.000980455723989248,0.013135788988903874,0.418061315,0.4311971039889039
19,3G,5,0,True,0,0,0.0029169573514080667,0.0010915347926979864,0.012759364198330254,0.418061315,0.4308206791983302
19,3G,5,0,False,1,2,0.0027152188332562064,0.0010868262751360957,0.017378139274673337,0.418061315,0.43543945427467334
19,3G,5,0,False,2,1,0.0028588334070961006,0.001037340740797287,0.015331507776277791,0.418061315,0.4333928227762778
